name,ingredients,diet,prep_time,cook_time,flavor_profile,course,state,region
Tokat Kebabı (mevsimlik),"lamb, eggplant, pepper, tomato",non vegetarian,53,122,-1,salad,Ankara,İç Anadolu
Tahini Piyaz (zeytinyağlı),"beans, tahini, lemon, garlic, olive oil",vegetarian,41,37,sour,bread,Hakkari,Doğu Anadolu
Karnıyarık (zeytinyağlı),"eggplant, ground beef, onion, tomato, pepper",non vegetarian,51,71,spicy,dessert,Balıkesir,Marmara
Keledoş (ızgara),"meat, chickpeas, wheat, yogurt, herbs",non vegetarian,48,84,-1,bread,Aksaray,İç Anadolu
Malatya Kayısılı Tatlı (fırında) (odun fırın) (zeytinyağlı) (mevsimlik),"dried apricot, walnut, sugar, butter",vegetarian,36,41,bitter,soup,Yalova,Marmara
Fava (zeytinyağlı),"broad beans, olive oil, dill, lemon",vegetarian,9,23,sweet,salad,Afyonkarahisar,Ege
Fava (odun fırın),"broad beans, olive oil, dill, lemon",vegetarian,12,5,bitter,soup,Düzce,Karadeniz
Tahini Piyaz (zeytinyağlı) (ev usulü),"beans, tahini, lemon, garlic, olive oil",vegetarian,37,52,sweet,main course,Kilis,Güneydoğu
Kuymak (Trabzon) (mevsimlik),"cornmeal, butter, cheese",vegetarian,10,98,sweet,dessert,Muğla,Ege
Mercimek Çorbası (ızgara),"red lentils, onion, carrot, butter",vegetarian,51,107,sweet,main course,Mardin,Güneydoğu
Malatya Kayısılı Tatlı (acı biberli),"dried apricot, walnut, sugar, butter",vegetarian,28,34,spicy,main course,Artvin,Karadeniz
Kuzu Kapama (mevsimlik),"lamb, peas, dill, butter",non vegetarian,51,117,sour,main course,Mardin,Güneydoğu
Adana Kebap (bol sebzeli),"ground lamb, tail fat, chili, salt",non vegetarian,63,57,spicy,dessert,Kütahya,Ege
Tahini Piyaz (ızgara) (fırında) (ev usulü) (zeytinyağlı),"beans, tahini, lemon, garlic, olive oil",vegetarian,46,64,-1,starter,Adana,Akdeniz
Ayvalık Tostu (odun fırın) (fırında),"toast bread, sucuk, kaşar cheese, pickles, ketchup",non vegetarian,6,47,bitter,main course,Adıyaman,Güneydoğu
Tokat Kebabı (mevsimlik) (ev usulü),"lamb, eggplant, pepper, tomato",non vegetarian,50,114,bitter,beverage,Nevşehir,İç Anadolu
Bostana Salatası (ev usulü),"tomato, cucumber, onion, isot, pomegranate molasses",vegetarian,24,10,sweet,soup,Samsun,Karadeniz
Kuru Fasulye (odun fırın) (sarımsaklı) (zeytinyağlı),"beans, onion, tomato paste, butter",vegetarian,41,72,-1,bread,Bayburt,Karadeniz
Bostana Salatası (odun fırın) (sarımsaklı),"tomato, cucumber, onion, isot, pomegranate molasses",vegetarian,16,25,bitter,beverage,Sakarya,Marmara
Peruhi (Erzurum) (tereyağlı),"flour, egg, yogurt, butter",vegetarian,13,32,bitter,dessert,Kilis,Güneydoğu
Katmer (Antep) (ızgara),"phyllo, pistachio, kaymak, sugar",vegetarian,30,107,sweet,beverage,Van,Doğu Anadolu
Çökertme Kebabı (fırında) (tereyağlı),"beef strips, potato, yogurt, butter, tomato sauce",non vegetarian,47,98,spicy,salad,Bursa,Marmara
Antakya Tepsi Kebabı (ev usulü),"ground meat, onion, pepper paste, chili flakes, parsley",non vegetarian,35,131,bitter,salad,Gümüşhane,Karadeniz
Adana Kebap (ızgara),"ground lamb, tail fat, chili, salt",non vegetarian,52,64,spicy,starter,Isparta,Akdeniz
Biber Dolması (mevsimlik) (ızgara),"bell pepper, rice, onion, tomato, olive oil",vegetarian,6,81,-1,salad,Aydın,Ege
Kumpir (tereyağlı),"potato, butter, kaşar cheese, sausage, pickles",non vegetarian,54,52,-1,main course,Bartın,Karadeniz
Keşkek (ızgara),"wheat, chickpeas, meat or butter, broth",non vegetarian,19,21,sour,main course,Isparta,Akdeniz
Ayvalık Tostu (acı biberli) (ev usulü),"toast bread, sucuk, kaşar cheese, pickles, ketchup",non vegetarian,18,64,sweet,main course,Elazığ,Doğu Anadolu
Kuru Cacık (zeytinyağlı) (tereyağlı),"yogurt, cucumber, mint, garlic",vegetarian,63,96,bitter,salad,Kütahya,Ege
Zerde (mevsimlik),"rice, saffron, sugar, raisins",vegetarian,26,79,-1,dessert,Malatya,Doğu Anadolu
Şıllık Tatlısı (ev usulü),"thin crepe, walnut, syrup",vegetarian,26,98,sour,beverage,Gaziantep,Güneydoğu
Kelle Paça Çorbası (bol sebzeli) (acı biberli) (fırında),"head meat, garlic, vinegar",non vegetarian,26,79,sweet,dessert,Nevşehir,İç Anadolu
Mısır Ekmeği (bol sebzeli),"corn flour, water, salt, oil",vegetarian,35,97,sour,main course,Osmaniye,Akdeniz
Höşmerim (mevsimlik) (sarımsaklı),"unsalted cheese, semolina, sugar, butter",vegetarian,60,118,sour,starter,İstanbul,Marmara
Çökertme Kebabı (ev usulü),"beef strips, potato, yogurt, butter, tomato sauce",non vegetarian,47,94,spicy,beverage,Burdur,Akdeniz
Malatya Kayısılı Tatlı (sarımsaklı),"dried apricot, walnut, sugar, butter",vegetarian,26,46,-1,salad,Kırşehir,İç Anadolu
Malatya Kayısılı Tatlı (fırında) (odun fırın) (zeytinyağlı) (mevsimlik) (tereyağlı),"dried apricot, walnut, sugar, butter",vegetarian,33,41,spicy,beverage,Erzurum,Doğu Anadolu
Islak Hamburger (sarımsaklı) (fırında) (tereyağlı),"ground beef, burger bun, garlic, tomato paste, butter",non vegetarian,22,114,bitter,soup,Kırıkkale,İç Anadolu
Boyoz (mevsimlik),"flour, oil, tahini, egg (optional), sesame",vegetarian,5,16,bitter,salad,Mersin,Akdeniz
Tokat Kebabı (mevsimlik) (tereyağlı),"lamb, eggplant, pepper, tomato",non vegetarian,50,124,-1,bread,Kocaeli,Marmara
